rank,player,pos,team,age,keeper_rank,keeper_value,fg_pct,ft_pct,3pm,pts,reb,ast,stl,blk,to
19,Donovan Mitchell,PG/SG,CLE,30.0,30,1756,0.483,0.865,3.2,27.9,4.5,5.7,1.5,0.3,2.8
20,Jalen Williams,SF/PF,OKC,25.4,38,1718,0.484,0.837,0.7,17.1,4.6,5.5,1.2,0.3,1.9
21,Darryn Peterson,SG/PG,UTA,19.6,33,1740,,,,,,,,,
22,Trey Murphy III,SG/SF/PF,NO,26.2,28,1782,0.470,0.886,3.2,21.5,5.7,3.8,1.5,0.4,1.8
23,Amen Thompson,PG/SG/SF,HOU,23.6,13,1953,0.534,0.779,0.3,18.3,7.8,5.3,1.5,0.6,2.4
24,Austin Reaves,PG/SG/SF,LAL,28.3,44,1668,0.490,0.871,2.3,23.3,4.7,5.5,1.1,0.4,3.0
25,Trae Young,PG,WAS,28.0,31,1754,0.458,0.825,1.8,17.9,2.0,8.0,0.9,0.1,2.6
26,Devin Booker,PG/SG,PHO,29.8,40,1705,0.456,0.873,1.9,26.1,3.9,6.0,0.8,0.3,3.2
27,Paolo Banchero,PF/C,ORL,23.8,32,1753,0.459,0.775,1.2,22.2,8.4,5.2,0.7,0.6,3.1
28,Josh Giddey,PG/SG,CHI,23.9,37,1720,0.448,0.763,1.9,17.0,8.3,9.1,1.0,0.5,3.6
29,Alexandre Sarr,C,WAS,21.4,39,1717,0.482,0.688,1.0,16.3,7.4,2.7,0.8,2.0,1.7
30,AJ Dybantsa,SF/PF,WAS,19.6,26,1796,,,,,,,,,
31,Deni Avdija,SG/SF/PF,POR,25.7,25,1798,0.462,0.802,1.9,24.2,6.9,6.7,0.8,0.6,3.8
32,Karl-Anthony Towns,PF/C,NY,30.8,42,1688,0.501,0.858,1.5,20.1,11.9,3.0,0.9,0.5,2.5
33,Kon Knueppel,SG/SF,CHA,21.1,41,1692,0.475,0.863,3.4,18.5,5.3,3.4,0.7,0.2,2.0
34,Franz Wagner,SF/PF,ORL,25.0,48,1630,0.481,0.823,1.4,20.6,5.2,3.3,0.9,0.3,1.7
35,Jamal Murray,PG/SG,DEN,29.5,59,1534,0.483,0.887,3.3,25.4,4.4,7.1,0.9,0.4,2.3
36,Jalen Duren,C,DET,22.8,43,1671,0.650,0.747,0.0,19.5,10.5,2.0,0.8,0.8,1.9
37,Caleb Wilson,PF/SF,CHI,20.1,29,1774,,,,,,,,,
38,Jaren Jackson Jr.,PF/C,UTA,27.0,49,1604,0.476,0.803,1.8,19.4,5.7,2.0,1.1,1.4,2.2
39,Jalen Brunson,PG,NY,30.0,34,1729,0.467,0.841,2.6,26.0,3.3,6.8,0.8,0.1,2.4
40,LaMelo Ball,PG/SG,MIN,25.0,20,1880,0.407,0.899,3.8,20.1,4.8,7.1,1.2,0.2,2.8
41,Zion Williamson,SF/PF/C,NO,26.2,65,1453,0.600,0.716,0.0,21.0,5.7,3.2,1.0,0.6,2.0
42,Stephon Castle,PG/SG,SA,21.8,23,1841,0.470,0.734,1.2,16.6,5.3,7.4,1.1,0.3,3.2
43,Donovan Clingan,C,POR,22.5,46,1649,0.520,0.680,1.1,12.1,11.6,2.1,0.6,1.7,1.2
44,Darius Garland,PG,LAC,26.6,50,1604,0.460,0.861,2.7,18.8,2.4,6.7,1.0,0.2,2.9
45,Bam Adebayo,PF/C,MIA,29.1,54,1566,0.442,0.778,1.7,20.1,10.0,3.2,1.2,0.7,1.6
46,VJ Edgecombe,PG/SG,PHI,21.1,27,1796,0.438,0.819,2.0,16.0,5.6,4.2,1.4,0.5,1.8
47,Jaylen Brown,SG/SF,PHI,29.9,51,1598,0.477,0.795,2.0,28.7,6.9,5.1,1.0,0.4,3.6
48,Keyonte George,PG/SG,UTA,22.8,47,1633,0.456,0.892,2.5,23.6,3.7,6.1,1.1,0.3,3.1
49,Anthony Davis,PF/C,WAS,33.5,91,1371,0.506,0.728,0.5,20.4,11.1,2.8,1.1,1.7,2.1
50,Tyler Herro,PG/SG,MIL,26.6,64,1459,0.480,0.917,2.6,20.5,4.8,4.1,0.7,0.4,1.9
51,De'Aaron Fox,PG/SG,SA,28.7,66,1453,0.486,0.760,1.8,18.6,3.8,6.2,1.2,0.3,2.3
52,Mikel Brown Jr.,PG/SG,BKN,20.4,70,1444,,,,,,,,,
53,Darius Acuff Jr.,PG,SAC,19.8,86,1379,,,,,,,,,
54,Keaton Wagler,SG/PG,LAC,19.6,81,1404,,,,,,,,,
55,James Harden,PG/SG,CLE,37.0,88,1372,0.434,0.884,3.1,23.6,4.8,8.0,1.1,0.4,3.5
56,Stephen Curry,PG,GS,38.5,79,1406,0.468,0.923,4.4,26.6,3.6,4.7,1.1,0.4,2.8
57,RJ Barrett,SG/SF/PF,TOR,26.2,90,1372,0.491,0.717,1.7,19.3,5.3,3.3,0.7,0.3,1.8
58,Domantas Sabonis,PF/C,SAC,30.3,73,1428,0.543,0.727,0.3,15.8,11.4,4.1,0.9,0.2,2.7
59,Matas Buzelis,SF/PF,CHI,21.9,45,1656,0.463,0.786,2.3,16.3,5.8,2.1,0.7,1.5,2.1
60,Brandon Miller,SF/PF,CHA,23.8,21,1857,0.435,0.892,3.1,20.2,4.9,3.3,1.0,0.7,2.5
61,Lauri Markkanen,SF/PF,UTA,29.3,52,1582,0.477,0.896,2.7,26.7,6.9,2.1,1.0,0.5,1.5
62,Zach Edey,C,MEM,24.3,68,1447,0.633,0.781,0.1,13.6,11.1,1.1,0.6,1.9,2.4
63,Onyeka Okongwu,PF/C,ATL,25.7,56,1549,0.481,0.757,2.0,15.2,7.6,3.1,1.1,1.1,1.7
64,Pascal Siakam,SF/PF/C,IND,32.4,75,1418,0.484,0.693,1.7,24.0,6.6,3.8,1.1,0.4,2.2
65,Ivica Zubac,C,IND,29.5,74,1424,0.596,0.711,0.0,14.1,10.6,2.2,0.4,0.8,1.8
